Family,Scientific Name,North,South,Pool,Shallowest,Deepest,Max.size,NW.gulf,NE.gulf,SW.gulf,SE.gulf,Range limit annual temp,Range limit min chloro,Range limit max chloro,Lat range,Islands occupied,Extralimital probabality
Pandoridae,Pandora rachaelae,22.375,15.8,Species Pool,0,60,14,23.40,31.00,22.10,20.42,23.29,0.05,11.99,15.20,1,0.015281917
Pandoridae,Pandora sarahae,24.6,22.9,Species Pool,2,10,12,31.00,31.30,30.00,30.30,21.56,0.26,6.98,8.40,0,0.041446334
Pandoridae,Pandora uncifera,22.375,-0.9,Species Pool,5,66,13,29.80,30.30,22.88,20.42,22.15,0.28,7.16,31.20,0,0.014556775
Hiatellidae,Panopea globosa,24.6,22.9,Species Pool,10,100,164,31.02,27.90,27.23,23.22,21.56,0.26,7.07,8.12,0,0.014548649
Veneridae,Paphonotia elliptica,22.375,-18.5,Species Pool,0,30,40,NA,NA,NA,NA,18.90,0.33,10.45,40.88,0,0.014674118
Cardiidae,Papyridea aspersa,28.3,-2.2,Species Pool,0,160,52,29.80,31.40,26.12,20.42,18.35,0.41,4.83,33.60,2,0.443228159
Cardiidae,Papyridea hiulca,22.375,-4.5,Species Pool,0,12,50,25.80,NA,22.10,NA,20.68,0.21,7.16,30.30,0,0.014794927
Pholadidae,Parapholas acuminata,22.375,-3.9,Species Pool,0,25,62,30.50,27.90,22.10,20.42,23.13,0.33,7.16,34.40,1,0.014889737
Pholadidae,Parapholas calva,22.375,1.4,Species Pool,0,45,50,NA,27.93,NA,20.42,23.95,0.33,7.71,26.53,1,0.014940625
Lucinidae,Pegophysema blanquita,24.6,17.7,Species Pool,18,100,90,31.00,30.50,30.00,29.50,21.56,0.21,6.98,13.30,0,0.041446334
Veneridae,Periglypta multicostata,22.375,-4.2,Species Pool,0,15,137,28.15,30.30,22.10,20.42,22.40,0.33,7.16,34.50,1,0.014889737
Periplomatidae,Periploma stearnsii,22.9,22.9,Species Pool,0,44,51,30.50,NA,22.10,NA,23.13,0.42,2.90,8.40,0,0.065608886
Veneridae,Petricola botula,22.375,-2.2,Species Pool,0,0,16,NA,23.20,NA,20.42,23.90,0.33,7.16,25.40,0,0.014556775
Veneridae,Petricola denticulata,24.8,-6.8,Species Pool,0,22,42,31.50,31.40,22.10,20.42,18.55,0.41,10.08,38.30,1,0.285578773
Veneridae,Petricola exarata,22.375,-3.5,Species Pool,0,0,15,NA,27.90,NA,20.42,23.94,0.33,7.54,31.40,0,0.014606535
Veneridae,Petricola insignis,22.375,-2.2,Species Pool,0,32,44,30.77,31.33,22.88,20.42,23.24,0.33,7.16,33.53,0,0.014556775
Veneridae,Petricola linguafelis,22.375,-3.7,Species Pool,0,20,7,23.50,23.70,22.10,20.42,24.38,0.21,7.16,27.40,0,0.014556775
Veneridae,Petricolaria cognata,28.3,-3.5,Extralimital,0,15,80,31.00,31.30,22.10,20.42,18.35,0.35,7.54,34.80,0,0.25222872
Ungulinidae,Phlyctiderma caelatum,22.375,-4.2,Species Pool,0,35,24,NA,23.50,NA,20.42,22.82,0.33,7.16,27.70,1,0.014889737
Ungulinidae,Phlyctiderma semirugosum,26.2,-4.1,Species Pool,0,122,14,31.00,31.40,23.50,20.42,21.44,0.41,4.83,35.50,1,0.129172437
Pholadidae,Pholas chiloensis,27.8,-41.9,Species Pool,0,150,131,31.02,31.30,30.77,20.42,17.78,0.35,8.97,73.20,0,0.162197152
Tellinidae,Phyllodella insculpta,22.375,-2.2,Species Pool,6,26,35,28.90,NA,22.10,NA,21.84,0.33,7.16,31.10,0,0.014556775
Pteriidae,Pinctada mazatlanica,22.9,-5.1,Species Pool,0,25,150,27.20,29.00,24.17,20.42,19.67,0.05,8.40,34.10,4,0.06405776
Pinnidae,Pinna rugosa,28.2,-5.6,Species Pool,0,100,430,31.02,31.40,24.17,20.42,18.34,0.14,8.66,37.00,2,0.094192574
Veneridae,Pitar berryi,22.375,-2.2,Species Pool,7,40,55,NA,27.95,NA,20.42,23.90,0.33,7.16,30.15,0,0.014556775
Veneridae,Pitar consanguineus,22.375,-3.7,Species Pool,0,44,47,28.20,23.30,22.10,20.42,22.40,0.05,7.16,31.90,1,0.014890402
Veneridae,Pitar helenae,22.375,-3.5,Species Pool,0,45,33,31.33,31.40,28.15,20.42,23.24,0.33,7.54,34.90,1,0.014940625
Veneridae,Pitar perfragilis,22.375,-2.5,Species Pool,6,183,28,31.00,27.95,22.10,20.42,23.29,0.33,7.16,33.50,0,0.014556775
Placunidae,Placunanomia cumingii,22.375,-3.6,Species Pool,0,100,100,28.90,28.30,22.10,20.42,21.84,0.21,7.16,32.50,0,0.014556775
Placunidae,Placunanomia panamensis,22.375,9,Species Pool,2,3,70,27.00,27.90,22.10,20.42,23.95,0.33,8.05,18.90,0,0.014606535
Lucinidae,Pleurolucina leucocymoides,27.7,-2.5,Species Pool,9,150,27,31.00,27.95,28.97,20.42,17.78,0.42,8.97,33.50,2,0.481749714
Lucinidae,Pleurolucina taylori,22.9,22.9,Species Pool,0,183,15,25.80,NA,22.90,NA,24.78,0.21,2.48,2.90,1,0.021067673
Plicatulidae,Plicatula anomioides,22.375,13.5,Species Pool,0,0,42,30.30,27.90,22.10,20.42,23.04,0.33,12.55,16.80,0,0.019665468
Plicatulidae,Plicatula penicillata,22.375,-2.2,Species Pool,0,60,24,28.97,27.95,22.10,20.42,21.84,0.33,8.38,31.17,0,0.014592081
Plicatulidae,Plicatula spondylopsis,22.375,-3.6,Species Pool,0,80,50,31.00,29.90,22.10,20.42,22.79,0.33,7.16,34.60,1,0.014889737
Anomiidae,Pododesmus foliatus,22.375,-4.5,Species Pool,0,200,95,30.00,27.90,22.10,20.42,20.68,0.33,7.16,34.50,0,0.014808696
Psammobiidae,Psammotella bertini,27.8,-5,Species Pool,0,17,93,24.20,28.00,22.10,20.42,17.78,0.41,8.97,33.00,0,0.162158258
Tellinidae,Psammotreta dombei,22.375,-3.5,Species Pool,0,18,69,NA,25.60,NA,20.42,23.94,0.27,11.06,29.10,0,0.014606535
Tellinidae,Psammotreta dombei,22.375,-3.5,Species Pool,0,0,70,NA,27.90,NA,20.42,23.94,0.33,7.54,31.40,0,0.014223848
Tellinidae,Psammotreta psammotella,22.375,-1.1,Species Pool,0,33,33,NA,31.40,NA,20.42,23.05,0.26,7.16,32.50,0,0.014556775
Tellinidae,Psammotreta pura,24.6,-5.6,Extralimital,0,26,55,30.77,31.40,24.17,20.42,19.64,0.41,8.66,37.00,1,0.151465018
Chamidae,Pseudochama corrugata,22.375,-5.8,Species Pool,0,5,87,29.53,27.92,22.10,20.42,19.41,0.33,8.29,35.33,1,0.015456458
Chamidae,Pseudochama inermis,22.375,7.2,Species Pool,0,10,79,NA,31.40,NA,20.42,23.24,0.32,7.16,24.20,0,0.014556775
Chamidae,Pseudochama panamensis,22.375,3,Species Pool,0,35,52,29.80,22.80,24.17,20.42,22.84,0.33,7.16,26.80,0,0.014556775
Chamidae,Pseudochama saavedrai,22.375,-3.6,Species Pool,0,55,65,29.80,31.33,22.10,20.42,22.84,0.33,7.16,34.93,1,0.014889737
Lucinidae,Radiolucina cancellaris,28.3,-12.1,Species Pool,0,212,8,28.80,31.30,26.07,20.42,18.02,0.35,12.03,43.40,0,0.108051855
Mactridae,Raeta plicatella,22.375,7.6,Species Pool,0,40,79,31.00,30.30,22.10,20.42,23.06,0.22,8.64,23.40,0,0.014592081
Mactridae,Rangia mendica,22.375,16.9,Species Pool,0,15,25,31.02,31.33,22.88,20.42,23.24,0.21,7.16,14.43,0,0.014556775
Nuculanidae,Saccella acapulcensis,22.375,1,Species Pool,4,200,14,NA,31.40,NA,20.42,23.24,0.33,7.16,30.40,1,0.014889737
Nuculanidae,Saccella eburnea,25.3,-4.7,Species Pool,10,112,17,25.30,27.87,23.20,20.42,20.04,0.33,7.07,32.57,0,0.01480043
Nuculanidae,Saccella elenensis,22.375,-5.2,Species Pool,15,30,14,31.03,28.00,25.97,20.42,19.30,0.33,7.16,36.23,0,0.015026732
Nuculanidae,Saccella fastigata,22.375,-5.9,Species Pool,9,94,40,NA,27.93,NA,20.42,19.41,0.33,8.29,33.83,0,0.015091076
Nuculanidae,Saccella hindsii,22.375,7.6,Species Pool,16,100,15,NA,27.90,NA,20.42,23.95,0.22,8.64,20.30,0,0.014592081
Nuculanidae,Saccella impar,22.375,-2.5,Species Pool,3,80,19,31.02,31.40,30.07,20.42,23.24,0.33,7.16,33.90,0,0.014556775
Nuculanidae,Saccella laeviradius,22.375,-5.8,Species Pool,7,100,8,NA,31.40,NA,20.42,19.41,0.33,8.29,37.20,0,0.015091076
Ostreidae,Saccostrea palmula,26.8,-5.9,Species Pool,0,0,75,31.20,31.40,26.67,20.42,19.41,0.41,16.19,37.30,2,0.162110897
Psammobiidae,Sanguinolaria ovalis,22.375,7.2,Species Pool,0,38,34,NA,27.90,NA,20.42,23.95,0.32,7.16,20.70,0,0.014556775
